paperid,institutionid,authorids,year
W4213153323,I172901346,['A5071732145'],2021
W3155364313,I172901346,['A5059136594'],2021
W3157955409,I172901346,['A5014017999'],2021
W3168926575,I172901346,['A5017137174' 'A5086866072'],2021
W3169645220,I172901346,"['A5050889083' 'A5026058446' 'A5082865215' 'A5072374592' 'A5090960041'
 'A5016391535']",2021
W4311858526,I172901346,['A5035306465'],2022
W4312434935,I172901346,['A5081614622'],2022
W4313118109,I172901346,['A5000934507' 'A5042025418' 'A5017646009' 'A5001112651'],2022
W4313532635,I172901346,['A5088471977' 'A5029315125' 'A5113416947'],2023
W4320728939,I172901346,['A5034562080' 'A5067500844'],2023
W4320735726,I172901346,['A5020817023' 'A5002642322' 'A5056482521'],2023
W4321495760,I172901346,['A5055978188' 'A5059771161' 'A5082024485' 'A5021040797'],2023
W4360598360,I172901346,['A5091311693' 'A5013863948'],2022
W3014213566,I172901346,['A5033131307' 'A5038474180'],2020
W3031817256,I172901346,['A5084677774' 'A5037145743'],2015
W4352994827,I172901346,['A5064244702'],2023
W2014224742,I172901346,['A5054362085' 'A5014311987' 'A5065829903'],2015
W4308094866,I172901346,['A5010528189' 'A5067559861' 'A5061280273' 'A5015307669'],2022
W4311962550,I172901346,['A5055700936'],2022
W4312502291,I172901346,['A5073044170' 'A5051658724' 'A5018124914'],2022
W4322620328,I172901346,['A5036108200' 'A5024630953'],2023
W4327739780,I172901346,['A5045730785' 'A5035520216'],2023
W4361006766,I172901346,['A5010877927' 'A5082685209' 'A5076832003'],2023
W4367673082,I172901346,['A5109604381'],2023
W4386069468,I172901346,['A5049397410' 'A5035160413' 'A5071347106' 'A5018422290'],2023
W4386782610,I172901346,['A5087842724' 'A5001772734' 'A5037173455' 'A5028089796'],2023
W4388761112,I172901346,['A5006686816' 'A5023555572' 'A5009913669' 'A5046152300'],2023
W4392653182,I172901346,['A5068847009' 'A5055201925' 'A5003310203' 'A5114134524' 'A5044584482'],2024
W2624853260,I172901346,['A5028634597'],2017
W2718297050,I172901346,['A5077338163' 'A5024272760' 'A5021924074' 'A5003739910'],2017
W2740703912,I172901346,['A5087738841' 'A5026717525'],2017
W2741514397,I172901346,['A5068940735'],2017
W2792538329,I172901346,['A5029392516' 'A5023302304' 'A5052014828' 'A5104102944' 'A5063100487'],2017
W2963351961,I172901346,['A5103860800' 'A5054499493'],2016
W2964246359,I172901346,['A5080005227'],2015
W3083302115,I172901346,['A5008721232' 'A5082015820' 'A5024021837'],2020
W3095280293,I172901346,['A5002785212'],2020
W4225087498,I172901346,"['A5090027546' 'A5006629535' 'A5036614652' 'A5087558339' 'A5002998390'
 'A5055718145' 'A5073831288']",2022
W1582325735,I172901346,['A5081883629'],2015
W2893592826,I172901346,['A5054780151' 'A5043764231' 'A5035646207' 'A5072894139'],2018
W4235856936,I172901346,['A5006474392'],2019
W2523954637,I172901346,['A5056639780'],2016
W2601018099,I172901346,['A5087086703' 'A5068463522'],2015
W2602484862,I172901346,['A5056151027' 'A5078605265'],2016
W3211647028,I172901346,['A5080696947' 'A5038419514'],2021
W3114108666,I172901346,['A5000436968' 'A5062216253'],2020
W4213000222,I172901346,['A5055700936'],2021
W4226353701,I172901346,['A5055255578' 'A5022623436'],2021
W4280537642,I172901346,['A5049800982' 'A5017556182' 'A5075791967'],2022
W4280556337,I172901346,['A5046876128'],2022
W3003485689,I172901346,['A5002042742' 'A5014084714'],2020
W1939933707,I172901346,['A5010540294'],2015
W2403840131,I172901346,['A5080605581'],2016
W2800728039,I172901346,['A5072082033'],2017
W2962757657,I172901346,['A5069001157' 'A5078564956' 'A5034944369'],2018
W2974411183,I172901346,['A5029867651' 'A5065054794'],2019
W2996638331,I172901346,['A5055108133' 'A5110657559' 'A5084616439'],2017
W2997447866,I172901346,['A5029120605'],2019
W3174119142,I172901346,['A5109059786'],2021
W4237741781,I172901346,['A5080401941' 'A5068463522' 'A5109512150'],2019
W4250066829,I172901346,['A5050889083' 'A5070366718'],2017
W4304588964,I172901346,['A5009515591'],2022
W4309197927,I172901346,['A5033305852' 'A5028350413' 'A5073126748' 'A5007833654'],2022
W437406913,I172901346,['A5034394479'],2015
W4200306891,I172901346,['A5015774250' 'A5065650542'],2021
W4205466913,I172901346,['A5072007785' 'A5042569958' 'A5047627437'],2021
W4206800104,I172901346,['A5021192688'],2021
W2765908853,I172901346,['A5068227481'],2017
W2790529480,I172901346,['A5054002352' 'A5000001625'],2018
W2990000800,I172901346,['A5062635121' 'A5051750598' 'A5069168505'],2019
W4389736138,I172901346,['A5017834226'],2023
W4389819509,I172901346,['A5079478083'],2023
W4390269058,I172901346,['A5020727581' 'A5064597433'],2023
W4391256431,I172901346,['A5055709571' 'A5022277008'],2024
W2891056323,I172901346,['A5065421233'],2018
W3014344780,I172901346,['A5034951494' 'A5047999514'],2020
W2650323362,I172901346,['A5013007001'],2017
W2735871283,I172901346,['A5113703745' 'A5074418663' 'A5001395897' 'A5080101308'],2017
W2796873169,I172901346,['A5000244867'],2018
W2906219525,I172901346,['A5003180256' 'A5066915542'],2018
W2906380268,I172901346,['A5072123998' 'A5080330406' 'A5019067831' 'A5051549990'],2018
W2998543724,I172901346,['A5008414579' 'A5109089796' 'A5086481029' 'A5007833654'],2016
W3009896585,I172901346,['A5074649638' 'A5061647941'],2018
W3029386468,I172901346,['A5018760668' 'A5000436968' 'A5035306465'],2020
W3080827345,I172901346,['A5015206993' 'A5040457452'],2020
W3102107511,I172901346,['A5031215099'],2020
W3106485273,I172901346,['A5018195435' 'A5031455089'],2016
W3133607371,I172901346,['A5051529135'],2021
W3155043650,I172901346,['A5027979474'],2020
W3217440705,I172901346,['A5004872883' 'A5110082633' 'A5042274004' 'A5094019292'],2021
W4200240397,I172901346,['A5020214916'],2021
W4312661715,I172901346,['A5102263796' 'A5033677401' 'A5102499833'],2022
W1183762028,I172901346,['A5020118209'],2015
W2216043186,I172901346,['A5050889083'],2015
W2998458948,I172901346,['A5030766012' 'A5031031750'],2019
W1255418987,I172901346,['A5006686816' 'A5009913669' 'A5036496045' 'A5091656530'],2015
W4280515135,I172901346,['A5112837553'],2022
W3011735192,I172901346,['A5049822235'],2020
W3016756588,I172901346,['A5029007269' 'A5088299882'],2020
W3105447872,I172901346,['A5063649629'],2020
W3106494005,I172901346,['A5048924419'],2020
W3126415358,I172901346,['A5070828812' 'A5041477235'],2020
W3143071228,I172901346,['A5001031681' 'A5031394911'],2020
W3160531618,I172901346,['A5000244867'],2020
W3161465705,I172901346,['A5035520216'],2020
W4322734847,I172901346,['A5034465653' 'A5029717384' 'A5068067187' 'A5040162083' 'A5059466776'],2023
W4382366481,I172901346,['A5002492418' 'A5102005674'],2023
W4226321524,I172901346,['A5103235535'],2022
W4312217953,I172901346,['A5036437921'],2022
W2805713291,I172901346,['A5084635917' 'A5036703574' 'A5057076088'],2018
W2888072231,I172901346,['A5054606157' 'A5085227127' 'A5048770752'],2018
W4319080659,I172901346,"['A5029206641' 'A5077654368' 'A5047134722' 'A5076569605' 'A5001636398'
 'A5049816000']",2023
W3160394948,I172901346,['A5085653114'],2021
W3163708330,I172901346,['A5035520216'],2021
W3197421184,I172901346,['A5011313524'],2021
W3212983389,I172901346,['A5089240696'],2021
W2345416978,I172901346,['A5101818589' 'A5021015106' 'A5046179892'],2016
W4210525733,I172901346,['A5082993256' 'A5042423830' 'A5074480253'],2022
W3113095765,I172901346,['A5064309814'],2020
W3195804569,I172901346,['A5044281485'],2020
W4239838568,I172901346,['A5059233563'],2020
W3116863581,I172901346,['A5054541891'],2020
W2261117712,I172901346,['A5089077878'],2015
W4206757641,I172901346,['A5101715512'],2021
W4210700061,I172901346,['A5015876222' 'A5088359657'],2021
W4255863737,I172901346,['A5041865291'],2018
W4283818216,I172901346,['A5035420942' 'A5017839918'],2022
W4285162540,I172901346,['A5092301994' 'A5045480911'],2022
W4285204096,I172901346,['A5081706651'],2022
W4285207356,I172901346,['A5092306255'],2022
W2950031895,I172901346,['A5020629944'],2015
W2950192834,I172901346,['A5006686816' 'A5087392366'],2015
W2777374873,I172901346,['A5025638987'],2017
W2781321276,I172901346,['A5047874759' 'A5081546873'],2017
W2769415398,I172901346,['A5078135932'],2017
W3048710324,I172901346,['A5084783495'],2020
W2750050558,I172901346,['A5049458503'],2017
W2970791741,I172901346,['A5063985021' 'A5054206630' 'A5042652847'],2019
W3012927429,I172901346,['A5055700936'],2020
W3132440978,I172901346,['A5017767047'],2021
W4244269249,I172901346,['A5001852598'],2021
W3127588124,I172901346,['A5045172496' 'A5012913220'],2017
W3132320708,I172901346,['A5019864127'],2019
W3136495559,I172901346,['A5045172496' 'A5012913220'],2017
W3137553916,I172901346,['A5045172496' 'A5012913220'],2019
W3138130810,I172901346,['A5080212192'],2021
W3142814777,I172901346,['A5045172496' 'A5012913220'],2018
W3147429281,I172901346,['A5012913220' 'A5045172496'],2019
W3151416904,I172901346,['A5045172496' 'A5012913220'],2018
W3163355727,I172901346,['A5036692508' 'A5077585209' 'A5057431823' 'A5011245197'],2018
W3174693763,I172901346,['A5043087736'],2021
W2972944245,I172901346,['A5041123888' 'A5008770045' 'A5017020364'],2019
W2918518465,I172901346,['A5096699759' 'A5035700699'],2018
W4390969385,I172901346,"['A5065955996' 'A5001656559' 'A5081306441' 'A5062156405' 'A5108312596'
 'A5089181123' 'A5093735568']",2024
W2560838925,I172901346,['A5077335532'],2016
W2605433475,I172901346,['A5015867111'],2017
W2620936691,I172901346,['A5078601980'],2017
W2903607193,I172901346,['A5062323542'],2018
W2725668580,I172901346,['A5059394953' 'A5012443189' 'A5090546466'],2017
W2770129838,I172901346,['A5008312199'],2018
W2888752588,I172901346,['A5039407066' 'A5042600320' 'A5044313979' 'A5073748845'],2018
W3049596798,I172901346,['A5030766012' 'A5031031750' 'A5034290897'],2020
W2341399662,I172901346,['A5046876128'],2016
W2749149565,I172901346,['A5113930060'],2017
W4236316583,I172901346,['A5085130079' 'A5056154403' 'A5080573307'],2021
W4379514212,I172901346,['A5024950809' 'A5107907682' 'A5071160455' 'A5108098147' 'A5071092317'],2023
W4396650097,I172901346,['A5077851811' 'A5096261127'],2024
W2999660627,I172901346,['A5051657620'],2020
W3012967798,I172901346,['A5027019059'],2020
W3118521242,I172901346,['A5083456973' 'A5103946205' 'A5070998783'],2020
W3193459256,I172901346,['A5008237865'],2020
W2753339092,I172901346,['A5039485823' 'A5062620157' 'A5061716343'],2017
W2793566756,I172901346,['A5048101105'],2018
W2804781055,I172901346,['A5069001157'],2018
W2999233651,I172901346,['A5054999029' 'A5052752401'],2019
W3017707123,I172901346,['A5039294488' 'A5017181531' 'A5080930039' 'A5061222987'],2020
W3124625955,I172901346,['A5110569218' 'A5025516565'],2018
W3141827203,I172901346,['A5087422907'],2021
W3202443120,I172901346,['A5007966429'],2021
W4200338877,I172901346,['A5006341258' 'A5004225676' 'A5006219981' 'A5003523005'],2021
W4226462287,I172901346,['A5054675953'],2021
W4283825190,I172901346,['A5041018573'],2022
W4285412982,I172901346,['A5007659009' 'A5076765056'],2022
W4290999441,I172901346,['A5050889083' 'A5050495851'],2022
W872715574,I172901346,['A5024306763' 'A5058229050' 'A5068129029'],2015
W2999316908,I172901346,['A5022544956'],2019
W3004156823,I172901346,['A5026777742'],2016
W3011214839,I172901346,['A5040823319' 'A5019509399' 'A5064127186' 'A5026050333' 'A5020214916'],2019
W4381617062,I172901346,['A5086655828'],2023
W4404734539,I172901346,['A5035525644'],2024
W4405215970,I172901346,['A5074281103'],2024
W4405216093,I172901346,"['A5115073734' 'A5109424493' 'A5053122757' 'A5059177334' 'A5073907272'
 'A5034554954']",2024
W2335237167,I172901346,['A5016637450'],2016
W2434324548,I172901346,['A5109554514'],2016
W4305025522,I172901346,['A5059018555' 'A5047202629' 'A5043861347' 'A5112282362'],2022
W4319733973,I172901346,['A5074768978'],2022
W4320081962,I172901346,['A5086988405' 'A5034394479' 'A5066262051' 'A5022071444'],2022
W4361273107,I172901346,['A5012970936'],2023
W4361858048,I172901346,['A5017839918'],2023
W4367156926,I172901346,['A5071556056' 'A5048308773'],2023
W4361854600,I172901346,['A5088455589' 'A5070298132'],2023
W4361860945,I172901346,['A5081287680'],2023
W4364375173,I172901346,['A5005647628'],2023
W4387347538,I172901346,['A5011332346' 'A5007172335' 'A5000038003' 'A5030916028'],2023
W4286354433,I172901346,['A5018899667'],2022
W2964838631,I172901346,['A5055155647' 'A5064884036' 'A5113909599' 'A5008185864'],2019
W2466330943,I172901346,['A5014263641' 'A5025222169' 'A5003759392'],2016
W2902491618,I172901346,['A5110177254' 'A5052041063' 'A5060972907'],2018
W2962951912,I172901346,['A5001797112' 'A5039503533'],2019
W3145345759,I172901346,['A5020046913'],2021
W4206904798,I172901346,['A5034917149'],2021
W4206980161,I172901346,['A5111692775'],2021
W4242407003,I172901346,['A5042855830' 'A5089650987'],2018
W4283024579,I172901346,['A5008090706'],2022
W2163445063,I172901346,['A5083907588' 'A5109370321' 'A5039378325' 'A5032314677' 'A5001775260'],2015
W2515312056,I172901346,['A5022976450' 'A5062842250' 'A5081591077'],2016
W2533404660,I172901346,['A5064181319' 'A5064199838' 'A5034750104' 'A5103105296'],2015
W2623314833,I172901346,['A5073129203' 'A5021190203' 'A5025018110' 'A5019098289'],2017
W2963278838,I172901346,['A5052173646'],2016
W2963667705,I172901346,['A5082612539' 'A5058926293'],2017
W2964084797,I172901346,['A5080605581'],2015
W3109787669,I172901346,['A5001917613' 'A5103400591'],2020
W4205597432,I172901346,['A5027736847' 'A5006368145' 'A5003211677'],2021
W4405098267,I172901346,['A5050889083' 'A5061918932' 'A5094266124' 'A5048664394'],2024
W3024733700,I172901346,"['A5064095602' 'A5041453386' 'A5083226407' 'A5012092202' 'A5060847528'
 'A5022663996' 'A5049341154']",2020
W2191499161,I172901346,['A5062635121' 'A5081686475' 'A5085247938'],2015
W1907009188,I172901346,['A5079501399'],2015
W3032329250,I172901346,['A5023720593' 'A5033633949'],2020
W2978453197,I172901346,['A5091394638'],2019
W3010888696,I172901346,['A5086911324' 'A5051510722' 'A5078875152' 'A5079122834'],2020
W2916812930,I172901346,['A5109691848' 'A5088598560'],2019
W4386624081,I172901346,['A5023720593'],2023
W2775881394,I172901346,"['A5057076088' 'A5024208194' 'A5027631488' 'A5036703574' 'A5078071269'
 'A5077950322']",2017
W3183875653,I172901346,"['A5105640113' 'A5029089757' 'A5024950809' 'A5107926205' 'A5105637055'
 'A5071092317' 'A5014371204' 'A5047965835' 'A5008312199']",2021
W4287775530,I172901346,['A5048515233'],2020
W2500088267,I172901346,['A5110692383' 'A5100978122'],2016
W2910929528,I172901346,['A5101800246' 'A5037631268' 'A5058245127' 'A5005074467' 'A5089326836'],2019
W2736382726,I172901346,['A5006629535' 'A5090027546' 'A5071267583' 'A5007875096' 'A5048749308'],2017
W4405111764,I172901346,"['A5062484920' 'A5101940093' 'A5021813920' 'A5064187808' 'A5059019678'
 'A5008734531']",2024
W4405483913,I172901346,['A5059829684' 'A5052560044' 'A5048625579'],2024
W4386398585,I172901346,['A5073885744'],2023
W2995191741,I172901346,['A5014589997' 'A5045007445'],2019
W2996966821,I172901346,['A5012967296' 'A5108700855'],2019
W2997625675,I172901346,['A5012210242'],2019
W2998218819,I172901346,['A5004588938' 'A5035331593' 'A5027700583' 'A5042303961'],2019
W2324154651,I172901346,['A5083012270'],2016
W2963853266,I172901346,['A5052628879'],2020
W2966994462,I172901346,['A5083254937' 'A5041975035' 'A5101849831'],2019
W2981588973,I172901346,['A5091693252'],2019
W4295036795,I172901346,['A5013607037'],2022
W2786335721,I172901346,['A5003282950'],2018
W2939060670,I172901346,['A5051678621' 'A5038679148' 'A5107519811'],2019
W2969189658,I172901346,['A5006869567'],2019
W4320856451,I172901346,['A5005580025' 'A5018127680'],2023
W1924371413,I172901346,['A5001052361' 'A5066414406'],2015
W2512284046,I172901346,"['A5020976765' 'A5062882228' 'A5032037925' 'A5019632267' 'A5034708779'
 'A5043073230' 'A5084264398' 'A5065450699' 'A5027732270']",2016
W3093850337,I172901346,['A5027084587' 'A5055189332'],2020
W3125194616,I172901346,['A5040954113'],2021
W3125945684,I172901346,['A5082458824'],2021
W3162348047,I172901346,['A5056922519'],2021
W4290460307,I172901346,['A5014084714' 'A5002042742'],2022
W4313454274,I172901346,['A5025927694' 'A5066700628' 'A5020845045'],2023
W2799753869,I172901346,['A5063649629'],2018
W2933370868,I172901346,['A5078230759'],2019
W2990133921,I172901346,['A5081883629'],2019
W4281624000,I172901346,['A5061550391' 'A5005787973'],2022
W4286833767,I172901346,['A5028791836'],2022
W3127686264,I172901346,['A5055463051' 'A5064965170'],2021
W3135391440,I172901346,['A5082868304'],2021
W3139290244,I172901346,['A5064965170' 'A5002306777'],2020
W4401273633,I172901346,['A5009662219' 'A5102770564'],2024
W4401459701,I172901346,['A5016275704'],2024
W4401526268,I172901346,['A5089849929'],2024
W4401664649,I172901346,['A5077448298'],2024
W4283763881,I172901346,['A5065955996'],2022
W4285125369,I172901346,['A5081306441' 'A5001656559'],2022
W4285306210,I172901346,['A5064965170' 'A5040991936'],2022
W4294323273,I172901346,['A5003718429'],2022
W4308589358,I172901346,['A5043077089' 'A5013689145' 'A5041550916' 'A5067758026' 'A5022200409'],2022
W4311158906,I172901346,['A5012000213'],2022
W4317886094,I172901346,['A5023555572' 'A5024426097'],2023
W4319457439,I172901346,['A5043077089' 'A5041550916'],2023
W4366387834,I172901346,['A5049861077'],2023
W4385673772,I172901346,['A5101943379' 'A5112716588' 'A5047094647' 'A5091174794'],2022
W4385949028,I172901346,['A5044125311'],2023
W4388090460,I172901346,"['A5074385712' 'A5035902982' 'A5035129369' 'A5019829624' 'A5002925638'
 'A5053954070' 'A5092538420' 'A5018332483' 'A5026916391']",2023
W4389247288,I172901346,['A5002109641'],2023
W2963890502,I172901346,['A5040271824'],2017
W3003501352,I172901346,['A5108374236'],2020
W3080135796,I172901346,['A5043472429'],2020
W1985941365,I172901346,['A5063011565' 'A5011335904' 'A5113542522' 'A5028804201'],2015
W2578133850,I172901346,['A5038419514'],2016
W2766028082,I172901346,['A5082912822'],2017
W2776104313,I172901346,['A5112338136' 'A5074091563' 'A5081280568' 'A5056010427'],2017
W2888872897,I172901346,['A5007940997'],2018
W2984336429,I172901346,['A5013441451' 'A5086252269' 'A5053610109' 'A5047879621' 'A5079564395'],2019
W3118160039,I172901346,['A5045075045'],2019
W3156867661,I172901346,['A5055700936'],2021
W3168808878,I172901346,['A5061142993'],2021
W3182546390,I172901346,['A5055889450' 'A5004157642'],2021
W4312631582,I172901346,['A5004286229' 'A5020827916'],2022
W4319239169,I172901346,['A5061399562' 'A5007448041' 'A5029315125'],2022
W4324049780,I172901346,['A5065966011'],2023
W4362720356,I172901346,['A5038419514'],2023
W4366962599,I172901346,['A5031501826' 'A5047024716'],2023
W4366988918,I172901346,['A5051467532'],2023
W4383617053,I172901346,['A5102745150' 'A5067606425' 'A5020072191'],2023
W4386214900,I172901346,['A5090007071' 'A5032660922'],2023
W2615026923,I172901346,['A5063235859' 'A5068598367' 'A5049622748'],2017
W2653419259,I172901346,['A5072467773' 'A5089383152' 'A5049001697' 'A5011168660'],2017
W2738511510,I172901346,['A5079400733'],2017
W2766945101,I172901346,['A5012183075' 'A5071160455' 'A5071092317'],2017
W2782510923,I172901346,['A5086168663'],2017
W2791116410,I172901346,['A5112350626' 'A5018629326'],2018
W2884374266,I172901346,['A5000553406'],2018
W2892580647,I172901346,['A5086552074'],2018
W2894515074,I172901346,['A5066030539'],2018
W2922714094,I172901346,['A5030766012' 'A5031031750'],2019
W2970873692,I172901346,['A5054892997' 'A5021199090'],2019
W2986697721,I172901346,['A5039409156' 'A5018885883'],2019
W2991619094,I172901346,['A5035075324'],2019
W3005457025,I172901346,['A5039926363'],2019
W3015746057,I172901346,['A5003936979' 'A5063455994'],2020
W2766005328,I172901346,['A5088074081' 'A5028508688' 'A5030251764'],2017
W2793636148,I172901346,['A5041836193' 'A5072059331'],2018
W3174905168,I172901346,['A5016275704'],2021
W4300068737,I172901346,['A5065396938'],2016
W3123088409,I172901346,['A5014120737'],2016
W2600292874,I172901346,['A5006686816' 'A5046152300'],2017
W2903337935,I172901346,['A5068836818'],2018
W2339525713,I172901346,['A5036177008'],2016
W2342296432,I172901346,['A5112073499' 'A5073116573' 'A5018760668'],2016
W4388787005,I172901346,['A5074418663' 'A5080101308' 'A5057650588'],2015
W2924419862,I172901346,['A5074738902'],2019
W3038613756,I172901346,['A5060433906'],2020
W3114277643,I172901346,['A5067853256'],2020
W4312417049,I172901346,['A5090095876'],2022
W2192864942,I172901346,['A5033131307' 'A5038474180'],2015
W3089217749,I172901346,['A5078525331'],2020
W1180700395,I172901346,['A5058431701' 'A5005713929' 'A5079065954' 'A5076319188' 'A5111779910'],2015
W2069162053,I172901346,['A5054744381' 'A5048924419'],2015
W3081864248,I172901346,['A5112460995'],2020
W3099769520,I172901346,['A5111127485' 'A5040848342' 'A5074514820'],2020
W3120147756,I172901346,['A5097394325'],2020
W3122971127,I172901346,['A5113316927' 'A5047821079'],2020
W3155598022,I172901346,['A5019150260' 'A5089107166'],2020
W3162301043,I172901346,['A5091325629'],2021
W3081952396,I172901346,['A5065421233'],2020
W2899333629,I172901346,['A5020388734'],2018
W2939172300,I172901346,['A5007409854'],2019
W1990242526,I172901346,['A5105297906'],2015
W4399858442,I172901346,['A5068847009' 'A5044584482' 'A5051728030' 'A5055201925' 'A5079480067'],2024
W4390075338,I172901346,['A5037145743'],2023
W4391375126,I172901346,['A5033505769'],2018
W4392164084,I172901346,['A5053351584' 'A5108230190' 'A5065098514' 'A5009703353' 'A5082951213'],2024
W4392237730,I172901346,['A5096362675' 'A5081287680'],2024
W4392238574,I172901346,"['A5002019529' 'A5043697320' 'A5094021110' 'A5048749308' 'A5002321472'
 'A5055476092']",2024
W4311299415,I172901346,['A5088455589' 'A5070298132'],2022
W4312709853,I172901346,['A5011370278' 'A5046917386'],2022
W4319982455,I172901346,['A5073415745'],2022
W4361984223,I172901346,['A5014099679'],2023
W2952771165,I172901346,['A5050557480' 'A5006686816' 'A5056813338' 'A5054353603'],2016
W2956404078,I172901346,['A5079847588' 'A5067606425' 'A5038742552'],2018
W2961932930,I172901346,['A5067193101' 'A5029397545' 'A5110463856' 'A5076775621'],2019
W2971244500,I172901346,['A5081186627'],2019
W3028579653,I172901346,['A5025038596'],2020
W4309079812,I172901346,['A5027898366'],2022
W2793635399,I172901346,['A5081423931' 'A5016425865'],2018
W2884199821,I172901346,['A5047167394'],2018
W3199980177,I172901346,['A5002336595'],2021
W4311283724,I172901346,['A5001656559'],2022
W4362547830,I172901346,['A5059457823'],2023
W4323043677,I172901346,['A5009209089'],2023
W4389078104,I172901346,['A5053135866' 'A5020739873' 'A5093358081'],2023
W4389080078,I172901346,['A5072234750' 'A5023566580'],2023
W3099170680,I172901346,['A5028750791'],2016
W4200207671,I172901346,['A5087465190' 'A5012934125' 'A5032548201'],2021
W3103656922,I172901346,['A5077118699'],2017
W2809360022,I172901346,['A5090027546' 'A5006629535' 'A5036614652' 'A5064941017'],2018
W3172742245,I172901346,['A5010877927'],2021
W4394904521,I172901346,['A5064244702'],2024
W4394952735,I172901346,"['A5059108986' 'A5000001625' 'A5112548279' 'A5111176745' 'A5065421233'
 'A5069459955']",2024
W4384501512,I172901346,['A5049458503' 'A5068847009'],2023
W2791601016,I172901346,['A5011332346' 'A5030916028' 'A5002020170'],2018
W2591861770,I172901346,['A5075547073'],2017
W3010342555,I172901346,['A5103047046'],2019
W2767164399,I172901346,['A5000369923' 'A5040542030'],2017
W2343304395,I172901346,['A5062343173'],2016
W2996758247,I172901346,['A5044125311'],2019
W3210333478,I172901346,['A5026050333' 'A5020214916' 'A5049473823'],2021
W3097364810,I172901346,['A5045172496' 'A5012913220'],2019
W3122670816,I172901346,['A5045172496' 'A5012913220'],2019
W4281641692,I172901346,['A5034052443' 'A5112445048' 'A5077099399' 'A5026468028'],2022
W4285685261,I172901346,['A5109581074'],2022
W4286599259,I172901346,['A5078436931'],2022
W4286878838,I172901346,['A5084849626' 'A5085457918' 'A5064396787' 'A5037578723' 'A5015021841'],2021
W4289545976,I172901346,['A5077739515'],2022
W4293180837,I172901346,['A5077586102'],2022
W4387620235,I172901346,['A5034625687'],2023
W4388976498,I172901346,['A5040268890' 'A5088866845'],2023
W4389040515,I172901346,['A5113055386' 'A5063306956'],2023
W4389305451,I172901346,['A5026058446' 'A5039216145'],2023
W4390758331,I172901346,['A5064846291' 'A5108659920' 'A5018129037' 'A5100554704'],2023
W3014660887,I172901346,['A5082782347'],2020
W3040654907,I172901346,['A5063649629'],2020
W3096044208,I172901346,['A5090975372'],2020
W3200967017,I172901346,['A5077978518'],2021
W4247055209,I172901346,['A5085691989'],2016
W2997902830,I172901346,['A5005988344'],2020
W3110319696,I172901346,['A5025773845'],2020
W3118450638,I172901346,['A5055889450'],2020
W3124221549,I172901346,['A5038116644'],2020
W4229082259,I172901346,['A5025579022' 'A5034052443' 'A5085863938'],2022
W4392060536,I172901346,['A5008123704' 'A5062050861'],2024
W2186595954,I172901346,['A5052421413'],2015
W4281900709,I172901346,['A5058410184'],2022
W4313399777,I172901346,['A5015876222' 'A5066713788' 'A5032954297'],2022
W4323339453,I172901346,['A5059892544'],2022
W1549661516,I172901346,['A5006840466' 'A5062635121'],2015
W2922107906,I172901346,['A5086453575'],2015
W2924912116,I172901346,['A5031224572'],2018
W2263605356,I172901346,['A5078756306'],2015
W2396712416,I172901346,['A5050713085' 'A5057287803' 'A5012114503' 'A5061348947'],2016
W2752118652,I172901346,['A5031838612'],2017
W2589558310,I172901346,['A5050889083' 'A5038887374' 'A5064846291'],2017
W4298200978,I172901346,['A5109588477'],2022
W4300434046,I172901346,['A5058544811'],2022
W4306719647,I172901346,['A5070635611'],2022
W4307260413,I172901346,['A5104008077'],2022
W2585464000,I172901346,['A5001115050' 'A5030406350' 'A5001239648' 'A5055736130'],2017
W3040586069,I172901346,['A5002499751'],2020
W2752448390,I172901346,['A5005007948'],2018
W4405495344,I172901346,['A5072745761' 'A5034733122'],2022
W4405506144,I172901346,['A5037145743'],2024
W4405516850,I172901346,['A5052387031'],2022
W4312212270,I172901346,"['A5042515502' 'A5002019529' 'A5057058540' 'A5006629535' 'A5048749308'
 'A5034975739' 'A5024426097' 'A5004514194']",2022
W3134028762,I172901346,['A5004377067'],2021
W4221030149,I172901346,['A5010877927' 'A5076832003' 'A5079962918'],2022
W4280543289,I172901346,['A5039294488' 'A5005587350'],2022
W4313245072,I172901346,['A5049397410' 'A5071347106' 'A5029775317' 'A5091432901' 'A5009867732'],2022
W2612972110,I172901346,['A5035474598'],2016
W4214753189,I172901346,['A5073626299'],2022
W4221129772,I172901346,['A5068515050'],2022
W4221153830,I172901346,['A5005195753' 'A5018680275' 'A5085912962'],2022
W2604757654,I172901346,['A5034410520'],2017
W2706277246,I172901346,['A5102993356' 'A5002749099'],2017
W2765370273,I172901346,['A5070474329'],2017
W2766440740,I172901346,['A5088074081'],2017
W2790735904,I172901346,['A5014499787'],2017
W2793313767,I172901346,['A5022435647'],2018
W2804841625,I172901346,['A5063985021' 'A5054206630' 'A5042652847'],2019
W2884503318,I172901346,['A5060981277' 'A5113322840' 'A5039358835' 'A5091087116'],2018
W3086439423,I172901346,['A5066793101'],2020
W3108704210,I172901346,['A5015876222' 'A5038081388' 'A5024963964'],2020
W3118184292,I172901346,['A5048780943'],2020
W3120571848,I172901346,['A5077521235'],2020
W4380569943,I172901346,['A5058245127'],2023
W2605923524,I172901346,['A5053135866' 'A5079233340' 'A5010479387'],2017
W4390175367,I172901346,['A5050889083'],2023
W4390507507,I172901346,['A5059457823' 'A5029763740' 'A5077272276'],2024
