paperid,institutionid,authorids,year
W2608762988,I172901346,['A5010540294'],2017
W2608939467,I172901346,['A5045172496' 'A5012913220'],2017
W2979553620,I172901346,['A5032552944'],2019
W2734330474,I172901346,['A5041539779' 'A5066515109'],2017
W3174950198,I172901346,['A5009913669'],2021
W4297947165,I172901346,['A5007760336'],2022
W4396794326,I172901346,['A5077048755' 'A5073059064' 'A5027442933' 'A5049098326'],2024
W4400981618,I172901346,['A5033160190' 'A5044592065'],2024
W4401174838,I172901346,['A5043463257'],2024
W4401693877,I172901346,"['A5003024384' 'A5066776856' 'A5019246646' 'A5011374225' 'A5033307609'
 'A5112564698' 'A5036270469']",2024
W2943586139,I172901346,['A5020237455'],2019
W2947088640,I172901346,['A5058704064' 'A5044900759'],2016
W2949360642,I172901346,['A5053351584' 'A5055700936' 'A5015643868' 'A5054606157'],2016
W2962645133,I172901346,['A5082152132' 'A5026531067'],2019
W4385950704,I172901346,['A5109707012'],2023
W4387257451,I172901346,['A5041935071'],2023
W4402400990,I172901346,['A5081647781'],2024
W4402416529,I172901346,['A5009703353'],2024
W4402429945,I172901346,['A5035160413' 'A5032882074' 'A5035768541' 'A5077707754' 'A5064597433'],2024
W4402514347,I172901346,['A5073511508'],2024
W4402535368,I172901346,"['A5038920470' 'A5080547185' 'A5095043408' 'A5095043407' 'A5064717991'
 'A5040163329' 'A5076490757']",2024
W3008908617,I172901346,['A5065157225'],2016
W4402450490,I172901346,['A5063649629'],2024
W4394829389,I172901346,['A5036614652' 'A5082037027'],2023
W4394830308,I172901346,['A5034625687'],2023
W4394830871,I172901346,['A5016425865'],2023
W4394920238,I172901346,['A5005080511'],2023
W4394955846,I172901346,['A5044354821'],2023
W4394967441,I172901346,['A5072894139' 'A5054780151' 'A5029374167' 'A5079294854' 'A5095782750'],2023
W4394968051,I172901346,['A5087788295' 'A5063317848'],2023
W3170728911,I172901346,['A5000956419'],2021
W609031384,I172901346,['A5042557211'],2015
W2648948234,I172901346,['A5005606979' 'A5113887803'],2017
W2738080713,I172901346,['A5046821407'],2016
W2421109925,I172901346,['A5023433665' 'A5027495049' 'A5052616070' 'A5025113415'],2016
W2509263622,I172901346,['A5057317567' 'A5074182790'],2016
W2620017052,I172901346,['A5103753198' 'A5042533726' 'A5005644747' 'A5103753197'],2016
W2949794954,I172901346,['A5054627872'],2018
W2993513070,I172901346,['A5081287680'],2019
W3003966524,I172901346,['A5084570332'],2016
W3008404593,I172901346,['A5050473505' 'A5006749489'],2019
W2963913491,I172901346,['A5007450906' 'A5020727581'],2019
W2983300749,I172901346,['A5002499751'],2019
W3083408793,I172901346,['A5084998742'],2020
W4210459450,I172901346,['A5087571159' 'A5016167632'],2022
W3203172935,I172901346,['A5008731234'],2021
W3205553681,I172901346,['A5017137174' 'A5016378390' 'A5006936031'],2021
W2734584526,I172901346,['A5011495268' 'A5039525963' 'A5064095602'],2017
W2963618979,I172901346,['A5030469021' 'A5044445973'],2019
